ANA|アナ|クラウン,ANAクラウンプラザホテル 札幌,札幌市中央区北３条西１丁目２−９,創成通沿い
ANA|アナ|ホリデイ,ANAホリデイ・イン 札幌すすきの,札幌市中央区南5条西3丁目7番地,南5条通北側東角
City|シティキャビン,CityCabinすすきの,札幌市中央区南５条西４丁目５−４,南5条通南側
FAV,FAV SAPPORO SUSUKINO,札幌市中央区南６条西７丁目2‐2,南６条通南側　FAV　ＬＵＸ札幌すすきの
GRAND|LDK|グランド,GRAND HOSTEL LDK 札幌,札幌市中央区南５条西９丁目1008−10,西9丁目通沿い
GRAND|LDK|グランド,GRAND HOSTEL LDK 大通公園,札幌市中央区南3条西8丁目2‐17,月寒通と南3条通の仲通
GUEST|ゲスト|ノナカ,GUEST HOUSE NONAKA,札幌市中央区南５条西９丁目１０１６−１３,西８、９丁目通を北に向かいテンポスを左、北側
JAL|ジャル,ホテルJALシティ 中島公園,札幌市中央区南８条西３丁目１−２５,イビススタイルの並び
JR,JRイン 札幌,札幌市中央区北５条西６丁目１,南向き一通西側
JR,JRイン 札幌駅南口,札幌市中央区北３条西１丁目１０,
JR,JRイン札幌北2条,札幌市中央区北２条西２丁目８−１,南向き一通西側
JR|にっこう,JRタワーホテル日航札幌,札幌市中央区北５条西２丁目5番地,１丁目と２丁目の間　西側
JR|メッツ,JRホテルメッツ札幌,札幌市北区北７条西２丁目5−３,１丁目と２丁目の間　西側
KOKO|ココ,KOKO HOTEL 札幌すすきの,札幌市中央区南6条西6丁目2-2,南6条通南側 旧ウイングインターナショナル
KOKO|ココ,KOKOホテル 札幌駅前,札幌市中央区北１条西３丁目３−１０,北2条通　南側　旧ユニゾイン
KOKO|ココ,KOKOホテル札幌大通,札幌市中央区南１条西６丁目８−１,南１条通り　旧フィーノ
LESTEL|MARU|レステル|マル,LESTEL MARU,札幌市中央区大通西２３丁目１−１,大通東向き北側
ONSEN|YUEN|おんせん|ゆえん,ONSEN RYOKAN 由縁,札幌市中央区北１条西７丁目６,STV東向 昔のエルムホテル
plat|プラット|keikyu|sky,plat hostel keikyu sapporo sky,札幌市中央区南７条西２丁目２−１４,西2丁目線(南進一通)南7条通越えた右側2軒目
plat|プラット|keikyu|いちば,plat hostel keikyu sapporo ichiba,札幌市中央区南３条東２丁目18−１,南２条通南側　角
